activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163544100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,3,0,2,1,1,1,2,2,2,85000.0,97.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,85000,1,1,3,5,1,NA,48,50%-60%,2,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,7,,,,,1,,,,2222,95.27,72800,39,209,970,65
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163569300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,31,1,2,2,2,165000.0,78.14,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,215000,1,1,3,5,1,NA,51,50%-60%,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,NA,1,1,7,,,,,1,,,,3688,18.25,72800,108,1202,1453,63
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163595201,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,5,0,2,1,32,1,2,2,2,105000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,65,NA,9,9,14,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,No,Yes,1,1,2,7,,,,10,,,,3164,18.9,72800,147,697,783,45
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163551200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,32,1,2,2,2,205000.0,75.0,3.125,0.041,2,2386.0,NA,1074.5,544.5,,360,NA,NA,2,2,2,2,275000,1,1,3,5,1,NA,115,44,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,2,7,,,,10,,,,3982,24.79,72800,190,1313,1474,70
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163538700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,0,2,1,1,1,2,2,2,165000.0,99.4,2.0,-1.16,2,600.0,NA,0.0,,,360,NA,NA,2,2,2,2,165000,1,1,3,5,1,NA,83,20%-<30%,9,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,2,1,7,,,,,10,,,,3823,98.67,72800,74,921,1463,71
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163564401,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,2,2,2,1,2,105000.0,61.98,1.99,1.24,2,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,405000,1,1,3,5,1,NA,97,30%-<36%,8,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,45-54,45-54,No,No,1,1,6,,,,,10,,,,6131,33.57,72800,268,1813,1845,24
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163561200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,1,0,2,1,2,1,2,1,2,205000.0,35.71,1.99,1.245,2,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,565000,1,1,3,5,1,NA,351,<20%,9,8,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,6,,,,,10,,,,7688,46.1,72800,305,2246,2302,15
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163567201,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,0,2,1,31,1,2,1,2,55000.0,24.27,2.49,1.12,2,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,205000,1,1,3,5,1,NA,116,<20%,8,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,6,,,,,10,,,,3577,16.66,72800,120,1254,1458,62
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163588400,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Joint,Black or African American,Male,3,0,2,1,2,2,2,1,2,55000.0,95.89,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,215000,1,1,3,5,1,NA,119,30%-<36%,8,10,2,14,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,6,,,,,4,9,,,5722,40.44,72800,152,1851,2026,44
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163557600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,1,2,1,2,155000.0,40.96,1.99,0.52,2,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,365000,1,1,3,5,1,NA,155,20%-<30%,8,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,6,,,,,10,,,,3039,10.23,72800,193,1037,1187,45
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163561200,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,5,0,2,1,31,2,2,1,2,35000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,NA,1,1,3,5,1,NA,129,NA,9,9,2,,,,,5,,,,,2,4,2,21,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,6,,,,,10,,,,7688,46.1,72800,305,2246,2302,15
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163576700,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,1,2,2,1,2,105000.0,48.9,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,275000,1,1,3,5,1,NA,165,20%-<30%,8,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,6,,,,,6,,,,3649,19.27,72800,159,1123,1305,62
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163550900,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,2,2,2,1,2,255000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,NA,1,1,3,5,1,NA,190,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,6,,,,,10,,,,2570,10.93,72800,306,984,1120,60
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163583300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,4,1,2,1,2,55000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,NA,1,1,3,5,1,NA,70,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,6,,,,,10,,,,2562,22.05,72800,96,750,1024,63
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163565200,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,5,0,2,1,2,2,2,1,2,205000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,NA,1,1,3,5,1,NA,250,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,NA,1,1,6,,,,,10,,,,5239,42.93,72800,128,1034,1233,36
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163544300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,3,0,2,1,2,1,2,1,2,35000.0,69.44,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,55000,1,1,3,5,1,NA,39,>60%,8,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,1,1,6,,,,,3,,,,2428,80.72,72800,44,662,1232,66
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163577400,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Male,3,0,2,1,2,2,2,1,2,25000.0,98.57,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,145000,1,1,3,5,1,NA,60,30%-<36%,8,10,3,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,6,,,,,3,,,,3613,39.39,72800,83,1076,1420,65
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163599100,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,2,2,2,1,2,125000.0,84.21,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,475000,1,1,3,5,1,NA,236,50%-60%,8,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,6,,,,,3,,,,5247,18.3,72800,118,1306,1622,59
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163500100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,3,0,2,1,2,1,2,1,2,45000.0,79.47,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,65000,1,2,3,5,1,NA,95,20%-<30%,8,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,6,,,,,3,,,,3996,95.05,72800,54,473,1777,69
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163564600,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,1,2,2,1,2,75000.0,86.11,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,545000,1,1,3,5,1,NA,500,<20%,8,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,25-34,9999,No,NA,1,1,6,,,,,3,,,,7112,38.4,72800,212,2119,2298,27
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163564600,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,2,2,2,1,2,55000.0,82.92,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,535000,1,1,3,5,1,NA,500,<20%,8,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,25-34,9999,No,NA,1,1,6,,,,,3,,,,7112,38.4,72800,212,2119,2298,27
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163533000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,3,0,2,1,2,1,2,1,2,25000.0,13.89,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,185000,1,1,3,5,1,NA,14,20%-<30%,8,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,6,,,,,3,,,,1426,87.45,72800,45,290,673,0
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163500100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,5,0,2,1,2,1,2,1,2,105000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,NA,1,1,3,5,1,NA,55,NA,9,9,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,65-74,9999,Yes,NA,1,1,6,,,,,10,,,,3996,95.05,72800,54,473,1777,69
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163572400,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,2,2,2,1,2,75000.0,66.52,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,305000,1,1,3,5,1,NA,105,30%-<36%,8,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,1,1,6,,,,,9,,,,1512,24.87,72800,90,353,515,65
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163543100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,3,0,2,1,32,1,2,2,2,125000.0,57.68,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,215000,1,1,3,5,1,NA,40,41,3,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,65-74,9999,Yes,NA,1,1,7,,,,,5,,,,2455,92.91,72800,139,843,1093,77
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163567800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,32,1,2,2,2,105000.0,46.09,2.5,0.359,2,3267.75,NA,1907.0,1377.0,,180,NA,NA,2,2,2,2,215000,1,1,3,5,1,NA,88,37,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,65-74,9999,Yes,NA,1,1,2,7,,,,10,,,,4992,37.54,72800,115,1120,1332,53
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163587000,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,2,2,2,1,2,25000.0,91.96,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,275000,1,1,3,5,1,NA,76,36,8,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,6,,,,,3,,,,4008,29.59,72800,113,1052,1445,42
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163574700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,2,1,2,1,2,505000.0,91.29,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,545000,1,1,3,5,1,NA,200,20%-<30%,8,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,1,1,6,,,,,3,4,,,4979,12.27,72800,128,1484,1691,68
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163572400,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,4,2,2,1,2,25000.0,81.05,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,195000,1,1,3,5,1,NA,100,30%-<36%,8,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,1,1,6,,,,,3,9,,,1512,24.87,72800,90,353,515,65
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163551300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,2 or more minority races,Female,3,0,2,1,2,1,2,1,2,25000.0,999.99,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,5000,1,1,3,5,2,NA,75,<20%,8,10,1,,,,,5,,,,,2,4,2,3,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,1,1,6,,,,,3,,,,4383,59.64,72800,94,1013,1369,65
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163594401,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,2,1,2,1,2,105000.0,51.68,1.99,0.87,2,NA,NA,NA,NA,NA,360,NA,1,2,1,2,2,195000,1,1,3,5,1,NA,61,30%-<36%,8,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,NA,1,1,6,,,,,10,,,,2857,15.12,72800,107,818,1041,49
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163571500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Male,3,0,2,1,2,1,2,1,2,155000.0,53.38,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,285000,1,1,3,5,1,NA,36,>60%,8,10,2,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,6,,,,,3,,,,5226,17.05,72800,88,992,1636,61
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163502000,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,3,0,2,1,2,2,2,1,2,25000.0,60.79,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,95000,1,1,3,5,1,NA,10,>60%,8,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,6,,,,,1,,,,1858,96.34,72800,66,575,1021,71
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163538200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,4,0,2,1,1,1,2,2,2,455000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,248,NA,9,9,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,7,,,,,10,,,,1972,82.05,72800,233,722,810,0
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163562400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,3,2,1,1,1,2,2,2,325000.0,94.0,2.625,-0.34,2,4333.99,NA,1901.24,1171.24,,360,NA,NA,2,2,2,2,355000,1,1,3,5,1,NA,72,40,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,1,1,2,,,,,10,,,,5439,11.09,72800,192,1947,2033,43
2022,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163596300,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,75000.0,73.38,2.49,1.77,2,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,535000,1,1,3,5,1,NA,169,37,8,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,6,6,2,2,35-44,45-54,No,No,1,1,6,,,,,10,,,,2797,11.12,72800,238,941,1014,50
