debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,derived_sex,applicant_ethnicity-1,derived_race,co-applicant_ethnicity-1,applicant_sex_observed,action_taken,purchaser_type,preapproval,tract_minority_population_percent,loan_type,loan_purpose,tract_population,income,ffiec_msa_md_median_family_income,tract_median_age_of_housing_units,applicant_age,applicant_age_above_62,co-applicant_age_above_62,loan_amount,action_taken_final
>60%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,80.72,1,2,2428,39.0,72800,66,35-44,No,,35000.0,Denied
30%-<36%,8,10,Male,3.0,White,5.0,2,3,0,2,39.39,1,2,3613,60.0,72800,65,35-44,No,,25000.0,Denied
50%-60%,8,9,Joint,2.0,White,2.0,2,3,0,2,18.3,1,2,5247,236.0,72800,59,45-54,No,No,125000.0,Denied
20%-<30%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,95.05,1,2,3996,95.0,72800,69,35-44,No,,45000.0,Denied
<20%,8,10,Sex Not Available,3.0,Race Not Available,5.0,2,3,0,2,38.4,1,1,7112,500.0,72800,27,25-34,No,,75000.0,Denied
<20%,8,10,Sex Not Available,3.0,Race Not Available,5.0,2,3,0,2,38.4,1,2,7112,500.0,72800,27,25-34,No,,55000.0,Denied
20%-<30%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,87.45,1,2,1426,14.0,72800,0,45-54,No,,25000.0,Denied
,9,9,Male,2.0,Black or African American,5.0,2,5,0,2,95.05,1,2,3996,55.0,72800,69,65-74,Yes,,105000.0,Approved
30%-<36%,8,10,Female,2.0,White,5.0,2,3,0,2,24.87,1,2,1512,105.0,72800,65,35-44,No,,75000.0,Denied
41,3,10,Male,2.0,Black or African American,5.0,2,3,0,2,92.91,1,32,2455,40.0,72800,77,65-74,Yes,,125000.0,Denied
37,2,10,Male,2.0,White,5.0,2,1,0,2,37.54,1,32,4992,88.0,72800,53,65-74,Yes,,105000.0,Approved
36,8,10,Male,2.0,White,5.0,2,3,0,2,29.59,1,2,4008,76.0,72800,42,45-54,No,,25000.0,Denied
20%-<30%,8,10,Female,2.0,White,5.0,2,3,0,2,12.27,1,2,4979,200.0,72800,68,35-44,No,,505000.0,Denied
30%-<36%,8,10,Female,2.0,White,5.0,2,3,0,2,24.87,1,4,1512,100.0,72800,65,25-34,No,,25000.0,Denied
<20%,8,10,Female,1.0,2 or more minority races,5.0,2,3,0,2,59.64,1,2,4383,75.0,72800,65,25-34,No,,25000.0,Denied
30%-<36%,8,10,Male,2.0,White,5.0,2,1,0,2,15.12,1,2,2857,61.0,72800,49,55-64,No,,105000.0,Approved
>60%,8,10,Male,2.0,Race Not Available,5.0,2,3,0,2,17.05,1,2,5226,36.0,72800,61,45-54,No,,155000.0,Denied
>60%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,96.34,1,2,1858,10.0,72800,71,45-54,No,,25000.0,Denied
,9,9,Female,2.0,Black or African American,5.0,2,4,0,2,82.05,1,1,1972,248.0,72800,0,45-54,No,,455000.0,Approved
40,3,10,Female,2.0,White,5.0,2,1,3,2,11.09,1,1,5439,72.0,72800,43,25-34,No,,325000.0,Approved
37,8,9,Joint,2.0,White,2.0,2,1,0,2,11.12,1,2,2797,169.0,72800,50,35-44,No,No,75000.0,Approved
38,8,10,Male,2.0,White,5.0,2,3,0,2,33.04,1,31,5439,43.0,72800,63,65-74,Yes,,25000.0,Denied
40,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,98.67,1,2,3823,30.0,72800,71,55-64,No,,65000.0,Denied
30%-<36%,8,9,Joint,2.0,Race Not Available,2.0,2,3,0,2,99.01,1,2,2535,69.0,72800,75,45-54,No,No,25000.0,Denied
44,8,9,Joint,2.0,White,2.0,2,1,0,2,12.62,1,4,3399,129.0,72800,57,65-74,Yes,Yes,205000.0,Approved
20%-<30%,3,10,Male,2.0,White,5.0,2,1,0,2,38.4,1,1,7112,66.0,72800,27,25-34,No,,275000.0,Approved
30%-<36%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,54.79,1,2,4247,54.0,72800,68,35-44,No,,25000.0,Denied
<20%,8,10,Male,3.0,Race Not Available,5.0,2,3,0,2,92.82,1,2,2367,305.0,72800,0,25-34,No,,25000.0,Denied
>60%,8,10,Male,3.0,White,5.0,2,3,0,2,23.92,1,1,3035,25.0,72800,60,25-34,No,,205000.0,Denied
,9,9,Male,2.0,White,5.0,2,5,0,2,40.44,1,2,5722,102.0,72800,44,35-44,No,,85000.0,Approved
30%-<36%,8,10,Male,2.0,White,5.0,2,1,0,2,46.1,1,2,7688,214.0,72800,15,55-64,Yes,,155000.0,Approved
38,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,92.97,1,2,1792,25.0,72800,67,35-44,No,,25000.0,Denied
<20%,8,10,Male,14.0,Black or African American,5.0,2,3,0,2,95.92,1,2,1153,35.0,72800,0,45-54,No,,25000.0,Denied
41,8,10,Male,2.0,White,5.0,2,1,0,2,34.68,1,31,4819,35.0,72800,37,35-44,No,,105000.0,Approved
38,8,10,Male,14.0,White,5.0,2,3,0,2,13.49,1,2,2594,137.0,72800,72,55-64,No,,55000.0,Denied
20%-<30%,1,10,Male,2.0,White,5.0,2,1,0,2,46.1,1,31,7688,115.0,72800,15,45-54,No,,275000.0,Approved
20%-<30%,1,10,Male,2.0,White,5.0,2,1,0,2,11.09,1,32,5439,78.0,72800,43,45-54,No,,235000.0,Approved
50%-60%,8,10,Male,2.0,White,5.0,2,3,0,2,9.5,1,2,6694,86.0,72800,80,35-44,No,,165000.0,Denied
30%-<36%,2,10,Male,2.0,White,5.0,2,1,0,2,25.98,1,32,3360,34.0,72800,65,>74,Yes,,85000.0,Approved
50%-60%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,99.34,1,2,3183,24.0,72800,66,25-34,No,,25000.0,Denied
20%-<30%,8,10,Female,2.0,White,5.0,2,1,0,2,29.7,1,31,2266,48.0,72800,39,65-74,Yes,,55000.0,Approved
47,8,9,Joint,2.0,Asian,2.0,2,2,0,2,33.57,1,31,6131,50.0,72800,24,55-64,No,No,155000.0,Approved
30%-<36%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,73.07,1,2,3402,84.0,72800,65,45-54,No,,25000.0,Denied
20%-<30%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,98.15,1,2,2538,64.0,72800,62,35-44,No,,65000.0,Denied
20%-<30%,9,2,Joint,2.0,White,2.0,2,1,0,2,11.9,1,32,4321,235.0,72800,46,35-44,No,No,365000.0,Approved
20%-<30%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,99.01,1,1,2535,65.0,72800,75,25-34,No,,25000.0,Denied
>60%,8,10,Male,3.0,Race Not Available,5.0,2,3,0,2,92.43,1,31,4056,61.0,72800,71,55-64,No,,85000.0,Denied
>60%,8,10,Female,2.0,White,5.0,2,3,0,2,18.25,1,2,3688,19.0,72800,63,65-74,Yes,,25000.0,Denied
20%-<30%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,80.72,1,2,2428,34.0,72800,66,65-74,Yes,,25000.0,Denied
20%-<30%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,98.0,1,2,3706,60.0,72800,74,35-44,No,,25000.0,Denied
<20%,8,10,Female,3.0,Black or African American,5.0,2,3,0,2,99.15,1,2,1055,72.0,72800,78,25-34,No,,85000.0,Denied
30%-<36%,8,10,Male,2.0,Race Not Available,5.0,2,3,0,2,98.94,1,1,2921,70.0,72800,65,35-44,No,,25000.0,Denied
20%-<30%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,98.23,1,2,2255,72.0,72800,76,55-64,No,,25000.0,Denied
49,8,10,Male,11.0,Race Not Available,5.0,2,1,0,2,25.74,1,2,5929,70.0,72800,64,35-44,No,,55000.0,Approved
38,8,10,Male,2.0,White,5.0,2,1,0,2,18.25,1,2,3688,59.0,72800,63,35-44,No,,65000.0,Approved
>60%,8,10,Male,3.0,Black or African American,5.0,2,3,0,2,92.02,1,2,3319,70.0,72800,0,35-44,No,,235000.0,Denied
>60%,9,8,Joint,2.0,White,2.0,2,3,0,2,10.23,1,31,3039,46.0,72800,45,55-64,No,No,215000.0,Denied
30%-<36%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,97.73,1,4,3132,62.0,72800,72,55-64,No,,25000.0,Denied
48,8,9,Joint,2.0,Black or African American,2.0,2,1,0,2,46.1,1,2,7688,84.0,72800,15,65-74,Yes,Yes,105000.0,Approved
30%-<36%,3,10,Male,2.0,White,5.0,2,1,0,2,15.12,1,32,2857,282.0,72800,49,55-64,No,,635000.0,Approved
30%-<36%,9,1,Joint,2.0,White,1.0,2,1,0,2,15.5,1,32,3451,102.0,72800,61,25-34,No,No,185000.0,Approved
<20%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,70.82,1,4,5518,60.0,72800,68,25-34,No,,25000.0,Denied
,9,9,Joint,2.0,White,2.0,2,5,0,2,14.25,1,4,2477,78.0,72800,23,45-54,No,No,75000.0,Approved
30%-<36%,8,10,Male,3.0,Black or African American,5.0,2,3,0,2,97.32,1,1,3315,90.0,72800,74,25-34,No,,125000.0,Denied
30%-<36%,9,1,Joint,2.0,White,2.0,2,1,0,2,34.68,1,32,4819,43.0,72800,37,65-74,Yes,Yes,65000.0,Approved
36,9,10,Male,2.0,Black or African American,5.0,2,2,0,2,98.67,1,1,2110,14.0,72800,66,55-64,No,,45000.0,Approved
30%-<36%,1,10,Male,2.0,Asian,5.0,2,1,0,2,19.26,1,1,3437,46.0,72800,66,25-34,No,,135000.0,Approved
,9,9,Male,2.0,Asian,5.0,2,4,0,2,84.62,1,1,3759,235.0,72800,0,45-54,No,,75000.0,Approved
39,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,95.94,1,2,2490,36.0,72800,0,45-54,No,,65000.0,Denied
,9,9,Joint,2.0,White,2.0,2,5,0,2,12.27,1,31,4979,44.0,72800,68,35-44,No,No,115000.0,Approved
30%-<36%,2,10,Female,2.0,Black or African American,5.0,2,3,0,2,32.05,1,1,3529,164.0,72800,41,35-44,No,,255000.0,Denied
40,9,2,Sex Not Available,3.0,Race Not Available,3.0,2,1,0,2,47.66,1,31,2054,46.0,72800,53,55-64,No,No,165000.0,Approved
<20%,9,10,Male,3.0,Black or African American,5.0,2,3,0,2,95.05,1,2,3996,80.0,72800,69,25-34,No,,35000.0,Denied
<20%,8,10,Male,2.0,White,5.0,2,3,0,2,12.27,1,2,4979,172.0,72800,68,45-54,No,,195000.0,Denied
30%-<36%,9,10,Female,2.0,White,5.0,2,1,0,2,16.66,1,1,3577,60.0,72800,62,25-34,No,,205000.0,Approved
20%-<30%,8,9,Male,2.0,White,2.0,2,3,0,2,25.98,1,2,3360,175.0,72800,65,55-64,Yes,No,75000.0,Denied
46,8,9,Joint,2.0,White,2.0,2,1,0,2,50.19,1,4,8340,98.0,72800,15,>74,Yes,Yes,105000.0,Approved
42,1,10,Male,2.0,Black or African American,5.0,2,1,0,2,47.66,1,32,2054,128.0,72800,53,45-54,No,,295000.0,Approved
50%-60%,8,10,Male,2.0,White,5.0,2,3,0,2,18.37,1,2,2096,105.0,72800,64,65-74,Yes,,55000.0,Denied
30%-<36%,2,10,Sex Not Available,3.0,Race Not Available,5.0,2,1,0,2,85.03,1,31,1971,83.0,72800,74,35-44,No,,175000.0,Approved
20%-<30%,8,10,Male,2.0,Race Not Available,5.0,2,1,0,2,17.18,1,2,7117,195.0,72800,27,55-64,Yes,,305000.0,Approved
>60%,1,9,Joint,2.0,White,2.0,2,3,0,2,45.43,3,1,1358,84.0,72800,0,35-44,No,No,695000.0,Denied
44,1,10,Female,2.0,Black or African American,5.0,2,2,0,2,57.06,1,32,7015,80.0,72800,26,45-54,No,,165000.0,Approved
<20%,2,10,Male,2.0,White,5.0,2,1,0,2,20.5,1,4,2385,101.0,72800,66,55-64,No,,85000.0,Approved
20%-<30%,9,8,Joint,2.0,White,2.0,2,1,0,2,31.49,1,31,5811,169.0,72800,44,55-64,No,No,45000.0,Approved
50%-60%,8,10,Female,2.0,White,5.0,2,3,0,2,19.27,1,4,3649,98.0,72800,62,35-44,No,,85000.0,Denied
41,3,10,Female,2.0,White,5.0,2,1,0,2,24.79,1,32,3982,39.0,72800,70,55-64,No,,135000.0,Approved
<20%,1,10,Male,2.0,White,5.0,2,1,0,2,63.22,1,32,3404,55.0,72800,63,55-64,No,,95000.0,Approved
38,8,10,Sex Not Available,3.0,Race Not Available,5.0,2,3,0,2,19.51,1,2,1861,60.0,72800,0,55-64,No,,55000.0,Denied
30%-<36%,9,1,Joint,2.0,White,2.0,2,1,0,2,11.12,1,31,2797,218.0,72800,50,25-34,No,No,425000.0,Approved
20%-<30%,8,10,Male,2.0,Asian,5.0,2,1,0,2,13.66,1,31,6471,165.0,72800,39,55-64,No,,205000.0,Approved
<20%,9,8,Joint,2.0,Joint,2.0,2,3,0,2,46.1,1,1,7688,240.0,72800,15,55-64,No,No,105000.0,Denied
20%-<30%,8,10,Male,2.0,White,5.0,2,1,0,2,53.97,1,4,6452,104.0,72800,16,45-54,No,,55000.0,Approved
20%-<30%,3,10,Sex Not Available,3.0,Race Not Available,5.0,2,1,0,2,11.3,1,31,3541,146.0,72800,0,55-64,No,,235000.0,Approved
,9,9,Male,1.0,White,5.0,2,4,0,2,33.57,1,2,6131,200.0,72800,24,45-54,No,,105000.0,Approved
20%-<30%,8,9,Joint,2.0,Asian,2.0,2,1,0,2,50.19,1,2,8340,233.0,72800,15,45-54,No,No,105000.0,Approved
<20%,8,10,Male,3.0,Asian,5.0,2,3,0,2,70.82,1,4,5518,49.0,72800,68,<25,No,,45000.0,Denied
30%-<36%,8,10,Male,3.0,Race Not Available,5.0,2,3,0,2,59.69,1,2,7088,100.0,72800,47,25-34,No,,45000.0,Denied
30%-<36%,9,10,Female,2.0,Black or African American,5.0,2,1,0,2,54.26,1,1,2687,62.0,72800,63,35-44,No,,175000.0,Approved
<20%,8,10,Male,1.0,Race Not Available,5.0,2,3,0,2,22.05,1,2,2562,106.0,72800,63,35-44,No,,55000.0,Denied
20%-<30%,8,10,Male,2.0,White,5.0,2,3,0,2,38.16,1,2,3386,100.0,72800,67,35-44,No,,75000.0,Denied
20%-<30%,8,10,Sex Not Available,3.0,Race Not Available,5.0,2,3,0,2,98.23,1,2,2255,110.0,72800,76,35-44,No,,55000.0,Denied
>60%,8,10,Female,2.0,White,5.0,2,3,0,2,16.67,1,31,2405,25.0,72800,47,55-64,No,,85000.0,Denied
,9,9,Female,2.0,White,5.0,2,5,0,2,11.9,1,4,4321,120.0,72800,46,45-54,No,,105000.0,Approved
<20%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,97.69,1,2,1730,17.0,72800,75,55-64,No,,25000.0,Denied
,9,9,Female,2.0,Black or African American,5.0,2,5,0,2,89.59,1,2,2642,42.0,72800,68,45-54,No,,25000.0,Approved
>60%,8,10,Female,1.0,White,5.0,2,3,0,2,66.23,1,1,3026,30.0,72800,0,25-34,No,,25000.0,Denied
,9,9,Male,2.0,White,5.0,2,5,0,2,19.0,1,4,5274,55.0,72800,29,65-74,Yes,,55000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,12.44,1,1,5352,31.0,72800,73,8888,,,155000.0,Approved
46,8,10,Male,3.0,Race Not Available,5.0,2,3,0,2,12.47,1,2,7106,24.0,72800,57,55-64,No,,105000.0,Denied
39,8,10,Male,2.0,White,5.0,2,3,0,2,8.39,1,4,3670,98.0,72800,46,45-54,No,,35000.0,Denied
<20%,8,10,Sex Not Available,3.0,Race Not Available,5.0,2,3,0,2,82.52,1,4,3330,76.0,72800,0,45-54,No,,75000.0,Denied
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,14.8,1,31,2791,38.0,72800,64,8888,,,85000.0,Approved
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,19.29,2,1,2665,36.0,72800,63,8888,,,185000.0,Approved
<20%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,98.67,1,2,2110,75.0,72800,66,25-34,No,,65000.0,Denied
<20%,8,10,Sex Not Available,3.0,Race Not Available,5.0,2,3,0,2,11.33,1,2,7155,250.0,72800,62,25-34,No,,85000.0,Denied
,9,9,Sex Not Available,4.0,Race Not Available,4.0,3,6,0,2,65.36,1,32,3352,44.0,72800,63,8888,,,115000.0,Approved
<20%,9,10,Female,1.0,Race Not Available,5.0,2,3,0,2,31.35,1,2,3646,75.0,72800,42,35-44,No,,105000.0,Denied
20%-<30%,8,10,Male,2.0,Asian,5.0,2,1,0,2,35.63,1,2,3023,113.0,72800,44,55-64,No,,145000.0,Approved
20%-<30%,8,10,Female,2.0,White,5.0,2,3,0,2,44.85,1,2,3619,86.0,72800,56,25-34,No,,25000.0,Denied
<20%,8,10,Male,3.0,Race Not Available,5.0,2,3,0,2,98.72,1,2,1173,130.0,72800,72,25-34,No,,35000.0,Denied
43,8,10,Female,2.0,White,5.0,2,1,0,2,17.12,1,4,3903,26.0,72800,44,>74,Yes,,55000.0,Approved
<20%,8,10,Male,1.0,American Indian or Alaska Native,5.0,2,3,0,2,57.06,1,2,7015,150.0,72800,26,<25,No,,55000.0,Denied
20%-<30%,8,9,Joint,2.0,White,2.0,2,3,0,2,44.85,1,2,3619,136.0,72800,56,25-34,No,No,25000.0,Denied
43,8,9,Joint,2.0,White,2.0,2,1,0,2,15.7,1,2,3497,101.0,72800,64,55-64,No,No,45000.0,Approved
20%-<30%,8,9,Joint,2.0,White,2.0,2,1,0,2,68.1,1,2,3611,47.0,72800,64,65-74,Yes,Yes,35000.0,Approved
30%-<36%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,88.71,1,2,1975,43.0,72800,76,45-54,No,,25000.0,Denied
46,8,10,Female,3.0,Black or African American,5.0,2,3,0,2,98.45,1,2,1549,48.0,72800,72,55-64,No,,55000.0,Denied
38,3,9,Joint,2.0,Asian,2.0,2,1,0,2,49.07,1,31,3691,74.0,72800,42,45-54,No,No,245000.0,Approved
40,8,10,Female,2.0,White,5.0,2,2,0,2,20.31,1,4,4820,78.0,72800,54,25-34,No,,105000.0,Approved
20%-<30%,8,10,Male,3.0,Black or African American,5.0,2,3,0,2,72.92,1,2,2441,50.0,72800,66,45-54,No,,25000.0,Denied
,9,9,Joint,2.0,White,2.0,2,4,0,2,34.43,1,2,6122,111.0,72800,15,>74,Yes,Yes,105000.0,Approved
>60%,8,10,Sex Not Available,3.0,Race Not Available,5.0,2,3,0,2,11.33,1,4,7155,65.0,72800,62,25-34,No,,65000.0,Denied
>60%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,96.67,1,2,751,25.0,72800,73,45-54,No,,55000.0,Denied
30%-<36%,8,10,Female,2.0,White,5.0,2,3,0,2,50.19,1,31,8340,53.0,72800,15,35-44,No,,25000.0,Denied
,9,9,Male,2.0,White,5.0,2,5,0,2,24.79,1,2,3982,104.0,72800,70,55-64,Yes,,105000.0,Approved
,9,9,Male,2.0,White,5.0,2,4,0,2,47.92,1,4,4541,80.0,72800,41,65-74,Yes,,65000.0,Approved
50%-60%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,92.16,1,4,3624,40.0,72800,0,45-54,No,,45000.0,Denied
<20%,8,10,Male,2.0,White,5.0,2,3,0,2,98.58,1,2,3321,228.0,72800,67,25-34,No,,125000.0,Denied
,9,9,Male,2.0,Black or African American,5.0,2,5,0,2,98.28,1,2,583,64.0,72800,74,45-54,No,,25000.0,Approved
40,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,40.44,1,4,5722,65.0,72800,44,55-64,No,,85000.0,Denied
20%-<30%,9,2,Joint,2.0,Race Not Available,2.0,2,1,0,2,33.57,1,32,6131,219.0,72800,24,55-64,Yes,Yes,435000.0,Approved
30%-<36%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,98.78,1,2,3197,88.0,72800,67,35-44,No,,45000.0,Denied
38,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,98.78,1,2,3201,40.0,72800,66,25-34,No,,65000.0,Denied
41,2,9,Joint,2.0,White,2.0,2,1,0,2,34.68,1,32,4819,79.0,72800,37,65-74,Yes,Yes,275000.0,Approved
20%-<30%,8,9,Joint,2.0,White,2.0,2,1,0,2,11.49,1,31,4056,134.0,72800,54,>74,Yes,Yes,105000.0,Approved
20%-<30%,8,10,Male,2.0,Black or African American,5.0,2,3,0,2,90.77,1,2,2005,50.0,72800,68,65-74,Yes,,25000.0,Denied
,9,9,Male,3.0,Race Not Available,5.0,2,5,0,2,95.94,1,31,2490,55.0,72800,0,65-74,Yes,,85000.0,Approved
,9,9,Female,2.0,White,2.0,2,5,0,2,38.4,1,31,7112,160.0,72800,27,35-44,No,No,25000.0,Approved
30%-<36%,9,10,Female,2.0,Black or African American,5.0,2,1,0,2,98.15,1,1,1732,57.0,72800,78,25-34,No,,95000.0,Approved
,9,9,Female,2.0,White,5.0,2,5,0,2,94.09,1,2,1388,30.0,72800,0,25-34,No,,45000.0,Approved
,9,9,Male,2.0,White,5.0,2,5,0,2,9.61,1,2,5817,250.0,72800,76,35-44,No,,255000.0,Approved
,9,9,Male,2.0,Black or African American,5.0,2,5,0,2,82.52,1,2,3330,125.0,72800,0,55-64,No,,45000.0,Approved
<20%,9,8,Joint,2.0,White,2.0,2,1,0,2,38.16,1,31,3386,57.0,72800,67,55-64,Yes,No,55000.0,Approved
,9,9,Male,3.0,Race Not Available,5.0,2,5,0,2,82.52,1,2,3330,152.0,72800,0,45-54,No,,155000.0,Approved
50%-60%,8,9,Joint,2.0,White,2.0,2,3,0,2,12.93,1,2,2220,72.0,72800,55,45-54,No,No,85000.0,Denied
36,9,8,Joint,2.0,White,2.0,2,1,0,2,8.31,1,4,2793,505.0,72800,58,65-74,Yes,Yes,105000.0,Approved
30%-<36%,8,10,Male,2.0,White,5.0,2,3,0,2,9.11,1,2,4030,130.0,72800,0,65-74,Yes,,25000.0,Denied
,9,9,Joint,2.0,White,2.0,2,4,0,2,44.85,1,2,3619,97.0,72800,56,55-64,No,No,35000.0,Approved
50%-60%,8,10,Male,2.0,White,5.0,2,3,0,2,50.03,1,4,4849,50.0,72800,34,45-54,No,,55000.0,Denied
,9,9,Male,2.0,Black or African American,5.0,2,5,0,2,97.2,1,1,1963,85.0,72800,72,45-54,No,,75000.0,Approved
20%-<30%,2,10,Female,2.0,Black or African American,5.0,2,1,0,2,54.59,1,31,3290,60.0,72800,25,35-44,No,,105000.0,Approved
,9,9,Female,2.0,White,5.0,2,4,0,2,85.39,1,2,3948,75.0,72800,24,45-54,No,,25000.0,Approved
>60%,3,10,Sex Not Available,3.0,Race Not Available,5.0,2,3,0,2,7.64,2,1,6018,21.0,72800,76,55-64,No,,175000.0,Denied
40,8,10,Male,2.0,White,5.0,2,3,0,2,10.99,1,2,3240,46.0,72800,52,45-54,No,,155000.0,Denied
50%-60%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,54.66,1,2,3297,70.0,72800,63,25-34,No,,35000.0,Denied
20%-<30%,8,10,Male,2.0,White,5.0,2,1,0,2,11.16,1,31,4588,160.0,72800,72,35-44,No,,325000.0,Approved
,9,9,Female,2.0,White,5.0,2,4,0,2,50.03,1,2,4849,73.0,72800,34,65-74,Yes,,65000.0,Approved
37,1,10,Female,2.0,White,5.0,2,1,0,2,12.47,1,32,7106,179.0,72800,57,35-44,No,,235000.0,Approved
41,1,10,Male,2.0,White,5.0,2,3,0,2,43.8,2,1,4489,19.0,72800,70,55-64,No,,75000.0,Denied
20%-<30%,8,10,Female,2.0,White,5.0,2,1,0,2,25.38,1,2,2660,30.0,72800,64,65-74,Yes,,25000.0,Approved
20%-<30%,9,8,Joint,3.0,White,3.0,2,1,0,2,23.24,1,1,4643,132.0,72800,63,45-54,No,No,55000.0,Approved
20%-<30%,8,10,Female,2.0,Black or African American,5.0,2,3,0,2,98.3,1,2,2943,72.0,72800,71,45-54,No,,55000.0,Denied
